,user_rating,review_text,sentiment,review_text_cleaned,tokens,freqdist
3147,5,"Absolutely wonderful hotel. Nothing I can be complaining about. Lovely personel, incredibly helpful I was worried to miss my very early flight, she helped me arrange a taxi etc.

The only thing is a had difficulty finding the entrance maybe a bit bigger sign would be helpful for people like me :)",positive,absolutely wonderful hotel nothing lovely incredibly helpful worried miss early flight arrange taxi thing difficulty finding entrance maybe bit bigger sign would helpful people like,"['absolutely', 'wonderful', 'hotel', 'nothing', 'lovely', 'incredibly', 'helpful', 'worried', 'miss', 'early', 'flight', 'arrange', 'taxi', 'thing', 'difficulty', 'finding', 'entrance', 'maybe', 'bit', 'bigger', 'sign', 'would', 'helpful', 'people', 'like']",<FreqDist with 24 samples and 25 outcomes>
3149,5,"Very cozy apartment with a beautiful Acropolis view. The location is great, next to Monastriaki Square and the metro station. Highly recommend!",positive,cozy apartment beautiful acropolis view location great next square station highly recommend,"['cozy', 'apartment', 'beautiful', 'acropolis', 'view', 'location', 'great', 'next', 'square', 'station', 'highly', 'recommend']",<FreqDist with 12 samples and 12 outcomes>
3151,1,"Aircon is terrible !
Bathroom sprays water everywhere!
Lift to get up dodgy",negative,terrible bathroom water everywhere lift get dodgy,"['terrible', 'bathroom', 'water', 'everywhere', 'lift', 'get', 'dodgy']",<FreqDist with 7 samples and 7 outcomes>
3154,1,"Never Again !! Noisy - Open Air Club in 10m distance from balcony

We had an absolutely dreadful experience at Moods Apartment in Athens. First, I want to say that we are used to noise and are aware that Athens is not exactly a quiet city. However, sleep was out of the question, as the 6 Dogs Club right next door, with a large outdoor area, was open every day from noon until 2:30 AM and on weekends even until 6 AM (see attached picture). The apartment's balcony is directly above the club, making the noise level unbearable and impossible to get any rest. Despite closed windows, the bass penetrated through the walls, keeping us awake all night.

You will definitely not find any sleep here. Additionally, the landlord was rude and not accommodating at all. Complaints were ignored, and no support or compensation is to be expected. To the booking agency, it was claimed that they had already been generous to us by allowing us to store our luggage unsecured in the hallway for 3 hours upon departure.

It seems the apartment operators' attitude is ""pay and forget."" If you plan to stay here, you will not get any sleep, even with earplugs.

Never again!!",negative,never noisy open air club distance balcony absolutely dreadful experience apartment first want say used noise aware not exactly quiet city however sleep question dog club right next door large outdoor area open every day noon even see attached picture apartment balcony directly club making noise level unbearable impossible get rest despite closed bass keeping u awake night definitely not find sleep additionally landlord rude not accommodating support compensation booking agency already generous u u store luggage unsecured hallway upon departure apartment attitude pay forget plan stay not get sleep even never,"['never', 'noisy', 'open', 'air', 'club', 'distance', 'balcony', 'absolutely', 'dreadful', 'experience', 'apartment', 'first', 'want', 'say', 'used', 'noise', 'aware', 'not', 'exactly', 'quiet', 'city', 'however', 'sleep', 'question', 'dog', 'club', 'right', 'next', 'door', 'large', 'outdoor', 'area', 'open', 'every', 'day', 'noon', 'even', 'see', 'attached', 'picture', 'apartment', 'balcony', 'directly', 'club', 'making', 'noise', 'level', 'unbearable', 'impossible', 'get', 'rest', 'despite', 'closed', 'bass', 'keeping', 'u', 'awake', 'night', 'definitely', 'not', 'find', 'sleep', 'additionally', 'landlord', 'rude', 'not', 'accommodating', 'support', 'compensation', 'booking', 'agency', 'already', 'generous', 'u', 'u', 'store', 'luggage', 'unsecured', 'hallway', 'upon', 'departure', 'apartment', 'attitude', 'pay', 'forget', 'plan', 'stay', 'not', 'get', 'sleep', 'even', 'never']",<FreqDist with 75 samples and 92 outcomes>
3155,4,"We stayed here with my boyfriend for 6 days and we were happy to live here. A lot of benefits, your own kitchen, comfortable and big bed, Wi-Fi and the best location. The manager was really fast answering the questions and providing help. In our apartment the flow of the water in the shower was really slow, so I contacted manager and she called mechanic and he fixed it next day. However, the TV was a bit broken, but it was possible to watch. The view on the acropolis is nice, BUT be prepared for the loud music outside (there is bar just under the hotel). The hotel provides earplugs for that, but it could be uncomfortable for some people.
The last question is the security. We were aware of the stolen things, so we hid everything we had. However, we had some doubts regarding the Balkon door, which is really weak and could be hacked in a few seconds. We also saw one camera, but I would recommend to secure the Balkon doors, more, especially locker. Overall, the rest is fine, service is polite and friendly, there is 2 lifts. So despite these drawbacks, I put 4 stars, because it was really good place",positive,stayed day happy live lot kitchen comfortable big bed best location manager really fast providing help apartment flow water shower really slow manager mechanic fixed next day however bit broken possible watch view acropolis nice prepared loud music outside bar hotel hotel could uncomfortable people last question security aware stolen everything however regarding door really weak could hacked also saw one camera would recommend secure especially locker overall rest fine service polite friendly despite put really good place,"['stayed', 'day', 'happy', 'live', 'lot', 'kitchen', 'comfortable', 'big', 'bed', 'best', 'location', 'manager', 'really', 'fast', 'providing', 'help', 'apartment', 'flow', 'water', 'shower', 'really', 'slow', 'manager', 'mechanic', 'fixed', 'next', 'day', 'however', 'bit', 'broken', 'possible', 'watch', 'view', 'acropolis', 'nice', 'prepared', 'loud', 'music', 'outside', 'bar', 'hotel', 'hotel', 'could', 'uncomfortable', 'people', 'last', 'question', 'security', 'aware', 'stolen', 'everything', 'however', 'regarding', 'door', 'really', 'weak', 'could', 'hacked', 'also', 'saw', 'one', 'camera', 'would', 'recommend', 'secure', 'especially', 'locker', 'overall', 'rest', 'fine', 'service', 'polite', 'friendly', 'despite', 'put', 'really', 'good', 'place']",<FreqDist with 70 samples and 78 outcomes>
3158,5,"We spent the christmas in Athens
The apartment made our stay much more joyful",positive,spent apartment made stay much joyful,"['spent', 'apartment', 'made', 'stay', 'much', 'joyful']",<FreqDist with 6 samples and 6 outcomes>
3171,5,"This apartment was without doubt one of the most luxurious we have ever stayed in. In a great location to immerse yourself in the hub bub of athens life, easy access to historical attractions, and the always amazing view of the acropolis.
Markella was great prior to, during and after our visit, checking everything was OK and if we needed anything.
Lots of luxurious touches. Robes, slippers, air con, tea, coffee etc provided.
Felt very sad having my last coffee on the balcony the mornig we left.
I want to tell you it's so brilliant... But equally want it to be unpopular so that no one books when we want to return!
Cannot imagine a better place to be in athens.",positive,apartment without doubt one luxurious ever stayed great location immerse hub bub life easy access historical always amazing view acropolis great prior visit everything anything lot luxurious air con tea coffee provided felt sad last coffee balcony left want tell brilliant equally want unpopular one want return not imagine better place,"['apartment', 'without', 'doubt', 'one', 'luxurious', 'ever', 'stayed', 'great', 'location', 'immerse', 'hub', 'bub', 'life', 'easy', 'access', 'historical', 'always', 'amazing', 'view', 'acropolis', 'great', 'prior', 'visit', 'everything', 'anything', 'lot', 'luxurious', 'air', 'con', 'tea', 'coffee', 'provided', 'felt', 'sad', 'last', 'coffee', 'balcony', 'left', 'want', 'tell', 'brilliant', 'equally', 'want', 'unpopular', 'one', 'want', 'return', 'not', 'imagine', 'better', 'place']",<FreqDist with 45 samples and 51 outcomes>
3184,4,"On balance, I would definitely recommend this hotel.

The rooms are actually a great size for the price and location. I did not expect the amount of space. Everything in the room is well maintained and works. The ""mood"" light above the desk is an interesting choice. But it is overall very comfortable.

There are three caveats.

First, the included breakfast is just OK. It's also a bit difficult to get to before having your first cup of coffee even with instruction: go to the main hotel in Monastiraki square, take the elevator to the top, go out, turn right and walk all the way to the end past the bar, turn right again and go down two flights of stairs, then enter the room. It is offered 7-10:30am which gives more flexibility than most places. The view is also excellent despite not being on the roof.

Second, the WiFi on floor 5 was spotty at best. If you don't have data on your phone or need to get serious work done, plan accordingly.

Third, full disclosure, there is apparently a club nearby, and you can hear the bass at night. It was fine for me, but my wife is a light sleeper. Earplugs would be well-advised if you are also. Obviously there's not much the hotel could do about this within reason and the laws of physics.",positive,balance would definitely recommend hotel actually great size price location not expect amount space everything room well work mood light desk interesting choice overall comfortable three first included breakfast also bit difficult get first cup coffee even instruction go main hotel square take elevator top go turn right walk way end past bar turn right go two enter room flexibility view also excellent despite not roof second floor spotty best data phone need get serious work done plan accordingly third full disclosure apparently club nearby hear bass night fine wife light sleeper would also obviously not much hotel could within reason physic,"['balance', 'would', 'definitely', 'recommend', 'hotel', 'actually', 'great', 'size', 'price', 'location', 'not', 'expect', 'amount', 'space', 'everything', 'room', 'well', 'work', 'mood', 'light', 'desk', 'interesting', 'choice', 'overall', 'comfortable', 'three', 'first', 'included', 'breakfast', 'also', 'bit', 'difficult', 'get', 'first', 'cup', 'coffee', 'even', 'instruction', 'go', 'main', 'hotel', 'square', 'take', 'elevator', 'top', 'go', 'turn', 'right', 'walk', 'way', 'end', 'past', 'bar', 'turn', 'right', 'go', 'two', 'enter', 'room', 'flexibility', 'view', 'also', 'excellent', 'despite', 'not', 'roof', 'second', 'floor', 'spotty', 'best', 'data', 'phone', 'need', 'get', 'serious', 'work', 'done', 'plan', 'accordingly', 'third', 'full', 'disclosure', 'apparently', 'club', 'nearby', 'hear', 'bass', 'night', 'fine', 'wife', 'light', 'sleeper', 'would', 'also', 'obviously', 'not', 'much', 'hotel', 'could', 'within', 'reason', 'physic']",<FreqDist with 86 samples and 102 outcomes>
3186,5,"Location was perfect for walking to the best sites in Athens, staff were all super friendy and helpful, room was great and the continental breakfast was truly amazing. You can't go wrong with this hotel!",positive,location perfect walking best staff super helpful room great continental breakfast truly amazing ca go wrong hotel,"['location', 'perfect', 'walking', 'best', 'staff', 'super', 'helpful', 'room', 'great', 'continental', 'breakfast', 'truly', 'amazing', 'ca', 'go', 'wrong', 'hotel']",<FreqDist with 17 samples and 17 outcomes>
3193,2,"Went to the rooftop. Terrible service. The manager, his second (bouncer?), and the waiter all had a terrible attitude. Very arrogant. The rooftop has a great view of the Acropolis if you get seated by that end. So they believe service is not important. Yet I saw at least four more rooftops around that have the same view. The tables not on the side of the Acropolis could have a great view as well, but they put some trees that block it. Definitely need a new decoration person.
They had a very poor food offering, only 5 different dishes.
I recommend going to one of the other nice rooftops around.",negative,went terrible service manager second bouncer waiter terrible attitude arrogant great view acropolis get seated end believe service not important yet saw least four around view table not side acropolis could great view well put block definitely need new decoration person poor food offering different recommend going one nice around,"['went', 'terrible', 'service', 'manager', 'second', 'bouncer', 'waiter', 'terrible', 'attitude', 'arrogant', 'great', 'view', 'acropolis', 'get', 'seated', 'end', 'believe', 'service', 'not', 'important', 'yet', 'saw', 'least', 'four', 'around', 'view', 'table', 'not', 'side', 'acropolis', 'could', 'great', 'view', 'well', 'put', 'block', 'definitely', 'need', 'new', 'decoration', 'person', 'poor', 'food', 'offering', 'different', 'recommend', 'going', 'one', 'nice', 'around']",<FreqDist with 42 samples and 50 outcomes>
3194,4,"I highly recommend this hotel for a variety of reasons.
1. The location is amazing. You are a short walking distance from all the major sites in downtown Athens.
2. The breakfast is extremely fresh and delicious.
3. The view from the breakfast area is breathtaking.
4.The Room is spacious and clean.
5. The staff is very friendly and helpful.

However, if you are a light sleeper, you might need ear plugs as the rooftop bar does not turn down the music until 2-3 AM.",positive,highly recommend hotel variety location amazing short walking distance major downtown breakfast extremely fresh delicious view breakfast area room spacious clean staff friendly helpful however light sleeper might need ear bar not turn music,"['highly', 'recommend', 'hotel', 'variety', 'location', 'amazing', 'short', 'walking', 'distance', 'major', 'downtown', 'breakfast', 'extremely', 'fresh', 'delicious', 'view', 'breakfast', 'area', 'room', 'spacious', 'clean', 'staff', 'friendly', 'helpful', 'however', 'light', 'sleeper', 'might', 'need', 'ear', 'bar', 'not', 'turn', 'music']",<FreqDist with 33 samples and 34 outcomes>
3196,2,Very clean with good staff. But no fire safety or exits. No power in my room. Nowhere to hang towels in the bathroom. No outdoor space. Low flow shower. No coffee in the room. No bin .,negative,clean good staff fire safety power room nowhere bathroom outdoor space low flow shower coffee room bin,"['clean', 'good', 'staff', 'fire', 'safety', 'power', 'room', 'nowhere', 'bathroom', 'outdoor', 'space', 'low', 'flow', 'shower', 'coffee', 'room', 'bin']",<FreqDist with 16 samples and 17 outcomes>
3198,5,"I had the pleasure of staying at Nur Outline, a fantastic new hotel in Monastiraki, Athens. The experience was nothing short of amazing! The staff were incredibly friendly and attentive, making me feel right at home.

The room was beautifully designed, and came with a convenient coffee maker and also a very nice surprise of a bottle of wine. The bed was wonderfully comfortable, ensuring I was well-rested for my adventures around the city.

Situated in the heart of Monastiraki, the hotel is perfectly located near the bustling flea market, delightful cafes, and significant historic landmarks. The metro station which is just in front of the hotel made exploring Athens effortless.

This hotel is superb choice for anyone looking to stay in Athens.",positive,pleasure outline fantastic new hotel experience nothing short amazing staff incredibly friendly attentive making feel right home room beautifully designed came convenient coffee maker also nice surprise bottle wine bed wonderfully comfortable around city situated heart hotel perfectly near bustling flea market delightful significant historic station front hotel made exploring effortless hotel superb choice anyone looking stay,"['pleasure', 'outline', 'fantastic', 'new', 'hotel', 'experience', 'nothing', 'short', 'amazing', 'staff', 'incredibly', 'friendly', 'attentive', 'making', 'feel', 'right', 'home', 'room', 'beautifully', 'designed', 'came', 'convenient', 'coffee', 'maker', 'also', 'nice', 'surprise', 'bottle', 'wine', 'bed', 'wonderfully', 'comfortable', 'around', 'city', 'situated', 'heart', 'hotel', 'perfectly', 'near', 'bustling', 'flea', 'market', 'delightful', 'significant', 'historic', 'station', 'front', 'hotel', 'made', 'exploring', 'effortless', 'hotel', 'superb', 'choice', 'anyone', 'looking', 'stay']",<FreqDist with 54 samples and 57 outcomes>
3205,4,The location doesn’t get much better if you are in Athens as a tourist.  The apartments have plenty of space.  I recommend paying a little extra to not stay on the side with street traffic as the motorcycles can be quite noisy late into the night.  That was our only minor complaint.  Nice to have a small gym.,positive,location get much better tourist plenty space recommend paying little extra not stay side street traffic quite noisy late night minor complaint nice small gym,"['location', 'get', 'much', 'better', 'tourist', 'plenty', 'space', 'recommend', 'paying', 'little', 'extra', 'not', 'stay', 'side', 'street', 'traffic', 'quite', 'noisy', 'late', 'night', 'minor', 'complaint', 'nice', 'small', 'gym']",<FreqDist with 25 samples and 25 outcomes>
3206,5,"A gem of an apartment in the heart of Athens. The rooms are well done, with thoughtful touches such as a full blackout curtain and excellent bathrooms. The service is very friendly and the people I met were very helpful and kind. An excellent place to stay at a good price.
The one drawback here is that there is no reception which makes the check-in process cumbersome.",positive,gem apartment heart well done thoughtful full blackout curtain excellent service friendly people met helpful kind excellent place stay good price one drawback reception process cumbersome,"['gem', 'apartment', 'heart', 'well', 'done', 'thoughtful', 'full', 'blackout', 'curtain', 'excellent', 'service', 'friendly', 'people', 'met', 'helpful', 'kind', 'excellent', 'place', 'stay', 'good', 'price', 'one', 'drawback', 'reception', 'process', 'cumbersome']",<FreqDist with 25 samples and 26 outcomes>
3207,5,"What a wonderful experience. Our first time to Athens. Let’s start with service. The staff of the hotel were very professional and accommodating. They were responsive, kind, and extremely helpful. We had an early flight out and they were able to arrange a car to the airport, and without us asking provided a wonderful packaged breakfast that was a delight. It was waiting for us when we departed at 5 am. Which then brings me to the food. Breakfast is offered in the stunning, modern, breakfast room or delivered to your room if you order in advance ( which we did). The breakfast was fresh, beautiful, vibrant, and delicious. On to the facility. The space is comfortable, and sexy with a chic artsy vibe. Exposed concrete structure with tasteful vintage accents that didn’t compromise functionality. The industrial touches of conduit and copper fixtures was really nice. The rooftop honor bar is a gem with a perfect view of the acropolis. We had a great time up there sharing a bottle of wine. I can’t recommend strongly enough.",positive,wonderful experience first time let start service staff hotel professional accommodating responsive kind extremely helpful early flight able arrange car airport without u provided wonderful breakfast delight waiting u departed food breakfast stunning modern breakfast room room order advance breakfast fresh beautiful vibrant delicious facility space comfortable sexy chic exposed concrete structure tasteful vintage compromise functionality industrial conduit copper really nice honor bar gem perfect view acropolis great time bottle wine recommend strongly enough,"['wonderful', 'experience', 'first', 'time', 'let', 'start', 'service', 'staff', 'hotel', 'professional', 'accommodating', 'responsive', 'kind', 'extremely', 'helpful', 'early', 'flight', 'able', 'arrange', 'car', 'airport', 'without', 'u', 'provided', 'wonderful', 'breakfast', 'delight', 'waiting', 'u', 'departed', 'food', 'breakfast', 'stunning', 'modern', 'breakfast', 'room', 'room', 'order', 'advance', 'breakfast', 'fresh', 'beautiful', 'vibrant', 'delicious', 'facility', 'space', 'comfortable', 'sexy', 'chic', 'exposed', 'concrete', 'structure', 'tasteful', 'vintage', 'compromise', 'functionality', 'industrial', 'conduit', 'copper', 'really', 'nice', 'honor', 'bar', 'gem', 'perfect', 'view', 'acropolis', 'great', 'time', 'bottle', 'wine', 'recommend', 'strongly', 'enough']",<FreqDist with 67 samples and 74 outcomes>
3212,2,"I’m not sure what’s happening with these other reviews or if we got the one horrible room in this hotel, but there is nothing about the photos that resembles the current state of our room or stairwell. We thought we were paying a premium for staying at a charming boutique hotel, but we were sorely disappointed. The room furnishings and bathroom were in horrible condition. Everything seemed old and dirty, and there was mold in the bathroom, which was poorly designed and outdated. The shower is in the same space as the toilet (you have to open the shower door to use the toilet) and the shower walls were crumbling, leading to a large black moldy area. There was a random trundle bed taking up half the room, which we were told was put there because people frequently sleep more than two in the room. We did not request it and it only further ruined the atmosphere. There were only two very flat deflated pillows on the bed. The curtains were again old and we were wary of having to touch them. The white couch pictured in the photos was also in bad shape and stained. There was a random janky TV hanging an inch over the couch and the remote was broken. we really don’t understand how these people get away with charging close to $300 per night. There are so many nicer places to stay for less in Athens.

2 stars for: There was a small balcony with a distant view of the acropolis, which was nice, but there are no chairs on the balcony to enjoy the view. The hotel is located on an incredibly busy street with countless restaurants, but despite being light sleepers, this was not a problem. It seemed that there was decent soundproofing. The staff was also very pleasant.",negative,not sure happening got one horrible room hotel nothing current state room thought paying premium charming hotel sorely disappointed room bathroom horrible condition everything old dirty mold bathroom poorly designed outdated shower space toilet open shower door use toilet shower leading large black moldy area random trundle bed taking half room told put people frequently sleep two room not request ruined atmosphere two flat bed old wary touch white couch pictured also bad shape random hanging inch couch remote broken really understand people get away charging close per night many stay less small balcony distant view acropolis nice balcony enjoy view hotel incredibly busy street countless despite light not problem decent soundproofing staff also pleasant,"['not', 'sure', 'happening', 'got', 'one', 'horrible', 'room', 'hotel', 'nothing', 'current', 'state', 'room', 'thought', 'paying', 'premium', 'charming', 'hotel', 'sorely', 'disappointed', 'room', 'bathroom', 'horrible', 'condition', 'everything', 'old', 'dirty', 'mold', 'bathroom', 'poorly', 'designed', 'outdated', 'shower', 'space', 'toilet', 'open', 'shower', 'door', 'use', 'toilet', 'shower', 'leading', 'large', 'black', 'moldy', 'area', 'random', 'trundle', 'bed', 'taking', 'half', 'room', 'told', 'put', 'people', 'frequently', 'sleep', 'two', 'room', 'not', 'request', 'ruined', 'atmosphere', 'two', 'flat', 'bed', 'old', 'wary', 'touch', 'white', 'couch', 'pictured', 'also', 'bad', 'shape', 'random', 'hanging', 'inch', 'couch', 'remote', 'broken', 'really', 'understand', 'people', 'get', 'away', 'charging', 'close', 'per', 'night', 'many', 'stay', 'less', 'small', 'balcony', 'distant', 'view', 'acropolis', 'nice', 'balcony', 'enjoy', 'view', 'hotel', 'incredibly', 'busy', 'street', 'countless', 'despite', 'light', 'not', 'problem', 'decent', 'soundproofing', 'staff', 'also', 'pleasant']",<FreqDist with 93 samples and 115 outcomes>
3216,2,"The staff was sooo lovely but a few things went wrong enough that i had to share a review; our suite door wouldn't lock, even after the staff attempted; so the entire stay we had to take our vauables with us and risk the rest of our stuff getting stolen behind an unlocked main door (front door stays unlocked until midnight with minimal security) and an unlocked suite door. Not ideal. Finally, we found bedbugs in the main bed. My husband was riddled with bites. Upon attempting to get a refund from the hotel based on the safety and health issues we encountered, we were denied. Sad. Not worth the $330/night we paid that is for sure.",negative,staff lovely went wrong enough share review suite door would lock even staff entire stay take u risk rest stuff getting stolen behind unlocked main door front door stay unlocked midnight minimal security unlocked suite door not ideal finally found main bed husband upon get refund hotel based safety health sad not worth sure,"['staff', 'lovely', 'went', 'wrong', 'enough', 'share', 'review', 'suite', 'door', 'would', 'lock', 'even', 'staff', 'entire', 'stay', 'take', 'u', 'risk', 'rest', 'stuff', 'getting', 'stolen', 'behind', 'unlocked', 'main', 'door', 'front', 'door', 'stay', 'unlocked', 'midnight', 'minimal', 'security', 'unlocked', 'suite', 'door', 'not', 'ideal', 'finally', 'found', 'main', 'bed', 'husband', 'upon', 'get', 'refund', 'hotel', 'based', 'safety', 'health', 'sad', 'not', 'worth', 'sure']",<FreqDist with 44 samples and 54 outcomes>
3217,5,"Very nice place to stay and visit Athens. The host is very friendly and helpful. Evrything you need and more is there in this place.
Even luggage storage is possible on the day of departure.",positive,nice place stay visit host friendly helpful need place even luggage storage possible day departure,"['nice', 'place', 'stay', 'visit', 'host', 'friendly', 'helpful', 'need', 'place', 'even', 'luggage', 'storage', 'possible', 'day', 'departure']",<FreqDist with 14 samples and 15 outcomes>
3220,5,Very nice room! And very close to the metro!,positive,nice room close,"['nice', 'room', 'close']",<FreqDist with 3 samples and 3 outcomes>
3222,1,"It was the worst hotel experience for us. We have traveled to many countries and stayed in many hotels, but this was the worst.In the photos there is a very beautiful view of the dirt terrace, but this is something like a small room. So it is completely photo misleading. The air conditioning is never adjusted, either it cools too much or not. We made a mistake because of the location and booking score (9.1). Yes the location is good but there are many more hotels in the same location. We stayed 4 nights and our sheets were not changed even once, the room was not wiped, the bathroom was dirty and our towels were renewed daily, so there were always missing towels. There is supposedly breakfast but it is very bad. You can get one of the 3 menus you choose in bistro 21 right next to the hotel and the menu is almost empty. You can wait half an hour until you order. Disinterested employees take and bring orders as if they are serving you by force. In short, stay away from this hotel and never trust the booking score.",negative,worst hotel experience u traveled many stayed many beautiful view dirt terrace something like small room completely photo misleading air never either much not made mistake location booking score yes location good many location stayed night not even room not bathroom dirty daily always missing supposedly breakfast bad get one choose bistro right next hotel menu almost empty wait half hour order disinterested take bring serving force short stay away hotel never trust booking score,"['worst', 'hotel', 'experience', 'u', 'traveled', 'many', 'stayed', 'many', 'beautiful', 'view', 'dirt', 'terrace', 'something', 'like', 'small', 'room', 'completely', 'photo', 'misleading', 'air', 'never', 'either', 'much', 'not', 'made', 'mistake', 'location', 'booking', 'score', 'yes', 'location', 'good', 'many', 'location', 'stayed', 'night', 'not', 'even', 'room', 'not', 'bathroom', 'dirty', 'daily', 'always', 'missing', 'supposedly', 'breakfast', 'bad', 'get', 'one', 'choose', 'bistro', 'right', 'next', 'hotel', 'menu', 'almost', 'empty', 'wait', 'half', 'hour', 'order', 'disinterested', 'take', 'bring', 'serving', 'force', 'short', 'stay', 'away', 'hotel', 'never', 'trust', 'booking', 'score']",<FreqDist with 62 samples and 75 outcomes>
3229,1,"The building was a press company, and that should tell you enough. Images of the rooms and facilities do not match reality in booking.com. When I arrived, I canceled it on the spot without checking in and lost almost 800 Euro gladly as their policy forfeits all amounts, which is another bad sign I should have caught earlier.

Rating on booking.com is misleading and deceiving. How can it be 4 stars is beyond my imagination. It should be no more than 3 stars and does not worth the money they charge customers for.

Add an extra 50 Euro and stay at Grand Hyatt 5 Star with club access and double the size of the room and much much much prestigious in everthing.",negative,building press company tell enough not match reality spot without lost almost gladly policy forfeit another bad sign caught rating misleading deceiving beyond imagination not worth money charge add extra stay grand star club access double size room much much much prestigious,"['building', 'press', 'company', 'tell', 'enough', 'not', 'match', 'reality', 'spot', 'without', 'lost', 'almost', 'gladly', 'policy', 'forfeit', 'another', 'bad', 'sign', 'caught', 'rating', 'misleading', 'deceiving', 'beyond', 'imagination', 'not', 'worth', 'money', 'charge', 'add', 'extra', 'stay', 'grand', 'star', 'club', 'access', 'double', 'size', 'room', 'much', 'much', 'much', 'prestigious']",<FreqDist with 39 samples and 42 outcomes>
3230,1,"The location is excellent, unfortunately I can’t say the same about the hospitality and the room. The bed and pillow was extremely terrible we literally wake up every hour with back and neck pain. Plus we had a junior suite which was too tiny , the robes are teared up as well. Will never recommend the place.",negative,location excellent unfortunately say hospitality room bed pillow extremely terrible literally wake every hour back neck pain plus junior suite tiny well never recommend place,"['location', 'excellent', 'unfortunately', 'say', 'hospitality', 'room', 'bed', 'pillow', 'extremely', 'terrible', 'literally', 'wake', 'every', 'hour', 'back', 'neck', 'pain', 'plus', 'junior', 'suite', 'tiny', 'well', 'never', 'recommend', 'place']",<FreqDist with 25 samples and 25 outcomes>
3235,1,"Avoid!!!  AVOID 🆘🆘🆘 Wasn’t clean.  I was  abused by the male boss. don’t be fool by its good location, you need feel safe, have a clean room for a  good night sleep after a day out and back to your room with  welcoming  staffs, not missable faces  and tiny area",negative,avoid avoid clean male bos fool good location need feel safe clean room good night sleep day back room welcoming not missable tiny area,"['avoid', 'avoid', 'clean', 'male', 'bos', 'fool', 'good', 'location', 'need', 'feel', 'safe', 'clean', 'room', 'good', 'night', 'sleep', 'day', 'back', 'room', 'welcoming', 'not', 'missable', 'tiny', 'area']",<FreqDist with 20 samples and 24 outcomes>
3237,1,"We got to the hotel in the late afternoon hours.
We got a twin bed room that wasn't Mach with our reservation in booking.com for a double room with 1 full bed.
They didn't change the room. They didn't care for customer service!
The room was dirty from dust and mold in the shower. The towels were old! Like they are from the last time I visited with my brother before 4 years.
I remember the place as good but maybe because it was new back then.
A lot of people talk about the noise from the tavern and the street downstairs, so if you get room 102, you will be in a big problem, party and music until 3 am and noise from early morning!
Luckily, we had only 1 night. If we had more, we would just take our things and move for another place!
Be careful!",negative,got hotel late afternoon got twin bed room reservation double room full bed change room care customer service room dirty dust mold shower old like last time brother remember place good maybe new back lot people talk noise tavern street downstairs get room big problem party music noise early morning luckily night would take move another place careful,"['got', 'hotel', 'late', 'afternoon', 'got', 'twin', 'bed', 'room', 'reservation', 'double', 'room', 'full', 'bed', 'change', 'room', 'care', 'customer', 'service', 'room', 'dirty', 'dust', 'mold', 'shower', 'old', 'like', 'last', 'time', 'brother', 'remember', 'place', 'good', 'maybe', 'new', 'back', 'lot', 'people', 'talk', 'noise', 'tavern', 'street', 'downstairs', 'get', 'room', 'big', 'problem', 'party', 'music', 'noise', 'early', 'morning', 'luckily', 'night', 'would', 'take', 'move', 'another', 'place', 'careful']",<FreqDist with 50 samples and 58 outcomes>
3263,1,"A lot of mess…
The towels are dirty, the room smells bad. Not worth the money.",negative,lot dirty room bad not worth money,"['lot', 'dirty', 'room', 'bad', 'not', 'worth', 'money']",<FreqDist with 7 samples and 7 outcomes>
3266,1,"The object itself is not bad
But NO HOT WATER! But the boiler is turned off
WIFI works poorly, you could even say it doesn't exist
Room no. 5
If it weren't for that, it wouldn't be bad
A room for 3 people for PLN 120 per day in this location is a good price in my opinion
Well, it would be nice to have hot water in the 21st century...

* the lack of possibility of contact via booking also, as you can see, proves something!
** message from the owner after a few hours:
Dear Sir or madam, we found your review disrespectful and unrealistc. So our legal team just started procedures to charge you with slanderous defamation. Τhere is hot water 24hours and of course internet. As you can see no-one has ever mentioned anything about hot water in any comment.

Instead of sprinkling ashes on my head, she will tell me that there was warm water when there was none!
And WiFi that has one line or disconnects from the network every now and then is not the Internet!

Due to this attitude, I strongly advise against this accommodation! It's better to pay 10 euros extra and have peace of mind with 3 to 1*!",negative,object not bad hot water boiler turned work poorly could even say exist room would bad room people per day location good price opinion well would nice hot water century lack possibility contact via booking also see something message owner dear sir madam found review disrespectful legal team charge slanderous defamation hot water course see ever anything hot water comment instead sprinkling ash head tell warm water none one line network every not due attitude strongly advise accommodation better pay extra peace mind,"['object', 'not', 'bad', 'hot', 'water', 'boiler', 'turned', 'work', 'poorly', 'could', 'even', 'say', 'exist', 'room', 'would', 'bad', 'room', 'people', 'per', 'day', 'location', 'good', 'price', 'opinion', 'well', 'would', 'nice', 'hot', 'water', 'century', 'lack', 'possibility', 'contact', 'via', 'booking', 'also', 'see', 'something', 'message', 'owner', 'dear', 'sir', 'madam', 'found', 'review', 'disrespectful', 'legal', 'team', 'charge', 'slanderous', 'defamation', 'hot', 'water', 'course', 'see', 'ever', 'anything', 'hot', 'water', 'comment', 'instead', 'sprinkling', 'ash', 'head', 'tell', 'warm', 'water', 'none', 'one', 'line', 'network', 'every', 'not', 'due', 'attitude', 'strongly', 'advise', 'accommodation', 'better', 'pay', 'extra', 'peace', 'mind']",<FreqDist with 71 samples and 83 outcomes>
